,index,Date,SB,Winner,Winner Stadium,Winner Dist,Winner Pts,Loser,Loser Stadium,Loser Dist,Loser Pts,MVP,Stadium,City,State
0,0,2020-02-02,LIV (54),Kansas City Chiefs,GEHA Field at Arrowhead Stadium,1230.0033527084286,31,San Francisco 49ers,Levi's Stadium,2558.771388678671,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida
1,1,2019-02-03,LIII (53),New England Patriots,Gillette Stadium,917.7020707494083,13,Los Angeles Rams,Levi's Stadium,2116.821889400973,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia
2,2,2018-02-04,LII (52),Philadelphia Eagles,Lincoln Financial Field,986.4443915336057,41,New England Patriots,Gillette Stadium,1118.940608793161,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota
3,3,2017-02-05,LI (51),New England Patriots,Gillette Stadium,1593.409476655561,34,Atlanta Falcons,Mercedes-Benz Stadium,705.9401715401071,28,Tom Brady,NRG Stadium,Houston,Texas
4,4,2016-02-07,50,Denver Broncos,Sports Authority Field at Mile High,932.2744861276631,24,Carolina Panthers,Bank of America Stadium,2281.167149518622,10,Von Miller,Levi's Stadium,Santa Clara,California
5,5,2015-02-01,XLIX (49),New England Patriots,Gillette Stadium,2291.8140002217046,28,Seattle Seahawks,CenturyLink Field,1104.920978911102,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona
6,6,2014-02-02,XLVIII (48),Seattle Seahawks,CenturyLink Field,2401.8895320035135,43,Denver Broncos,Sports Authority Field at Mile High,1626.7740475331648,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey
7,7,2013-02-03,XLVII (47),Baltimore Ravens,M&T Bank Stadium,997.4171038188188,34,San Francisco 49ers,Sports Authority Field at Mile High,1079.2614439777874,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana
8,8,2012-02-05,XLVI (46),New York Giants,MetLife Stadium,642.4544426412348,21,New England Patriots,Gillette Stadium,795.1417253020543,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana
9,9,2011-02-06,XLV (45),Green Bay Packers,Lambeau Field,946.3596086393825,31,Pittsburgh Steelers,Heinz Field,1086.214380640666,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas
10,10,2010-02-07,XLIV (44),New Orleans Saints,Caesars Superdome,661.3593382485876,31,Indianapolis Colts,Lucas Oil Stadium,1010.9244739545125,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida
11,11,2009-02-01,XLIII (43),Pittsburgh Steelers,Heinz Field,871.1955255740395,27,Arizona Cardinals,University of Phoenix Stadium,1800.416006305999,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida
12,12,2008-02-03,XLII (42),New York Giants,Giants Stadium,2142.975228095297,17,New England Patriots,Gillette Stadium,2291.8140002217046,14,Eli Manning,University of Phoenix Stadium,Glendale,Arizona
13,13,2007-02-04,XLI (41),Indianapolis Colts,RCA Dome,1011.4117821283604,29,Chicago Bears,Gillette Stadium,1223.712553857899,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida
14,14,2006-02-05,XL (40),Pittsburgh Steelers,Heinz Field,204.57707736921307,21,Seattle Seahawks,CenturyLink Field,1938.1539569734696,10,Hines Ward,Ford Field,Detroit,Michigan
15,15,2005-02-06,XXXIX (39),New England Patriots,Gillette Stadium,995.5196347072751,24,Philadelphia Eagles,Lincoln Financial Field,754.5599746021525,21,Deion Branch,Alltel Stadium,Jacksonville,Florida
16,16,2004-02-01,XXXVIII (38),New England Patriots,Gillette Stadium,1593.409476655561,32,Carolina Panthers,Bank of America Stadium,931.0205658322727,29,Tom Brady,Reliant Stadium,Houston,Texas
17,17,2003-01-26,XXXVII (37),Tampa Bay Buccaneers,Raymond James Stadium,2082.307111123898,48,Oakland Raiders,Candlestick Park,453.1358408617297,21,Dexter Jackson,Qualcomm Stadium,San Diego,California
18,18,2002-02-03,XXXVI (36),New England Patriots,Gillette Stadium,1340.6198275097395,20,St. Louis Rams,Edward Jones Dome,598.426221113563,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana
19,19,2001-01-28,XXXV (35),Baltimore Ravens,M&T Bank Stadium,848.9948971301183,34,New York Giants,Giants Stadium,1006.8517006580676,7,Ray Lewis+,Raymond James Stadium,Tampa,Florida
20,20,2000-01-30,XXXIV (34),St. Louis Rams,Edward Jones Dome,469.19701282608537,23,Tennessee Titans,Nissan Stadium,214.53335756062654,16,Kurt Warner+,Georgia Dome,Atlanta,Georgia
21,21,1999-01-31,XXXIII (33),Denver Broncos,Mile High Stadium,1716.9238647610273,34,Atlanta Falcons,Georgia Dome,591.5418607368287,19,John Elway+,Pro Player Stadium,Miami Gardens,Florida
22,22,1998-01-25,XXXII (32),Denver Broncos,Mile High Stadium,825.9899432057881,31,Green Bay Packers,Lambeau Field,1752.9007251126347,24,Terrell Davis+,Qualcomm Stadium,San Diego,California
23,23,1997-01-26,XXXI (31),Green Bay Packers,Lambeau Field,1009.4714803175873,35,New England Patriots,Foxboro Stadium,1340.3813032879987,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana
